0,0,6,11
0,2,6,13
0,3,9,13
0,4,1,11
0,6,7,10
0,9,1,10
0,10,2,10
0,12,3,12
0,16,1,10
0,18,7,14
1,0,8,25
1,2,0,20
1,4,9,27
1,7,10,27
1,8,5,21
1,14,6,20
1,15,5,26
1,16,2,14
1,17,6,22
1,19,8,26
2,2,4,49
2,4,9,30
2,6,5,30
2,7,10,12
2,8,0,53
2,11,7,26
2,15,7,35
2,17,1,51
2,18,2,21
2,20,1,37
3,3,2,35
3,6,0,25
3,7,1,40
3,8,1,49
3,9,1,19
3,11,1,75
3,13,5,34
3,15,0,57
3,16,8,36
3,17,9,11
4,2,9,13
4,4,7,13
4,6,3,13
4,7,2,11
4,8,4,12
4,10,2,13
4,11,8,10
4,12,8,12
4,14,0,10
4,20,1,12
5,0,10,26
5,1,1,56
5,4,9,72
5,5,5,70
5,10,7,35
5,13,0,56
5,16,8,61
5,17,8,75
5,19,6,59
5,20,5,30
6,0,3,11
6,1,10,12
6,5,7,10
6,10,1,12
6,13,3,12
6,14,9,13
6,17,7,12
6,18,0,10
6,19,2,13
6,20,10,12
7,0,5,11
7,1,10,11
7,2,5,15
7,5,0,15
7,11,3,10
7,12,9,12
7,13,2,17
7,15,8,15
7,19,2,10
7,20,7,11
8,1,2,41
8,4,4,50
8,5,9,21
8,6,9,40
8,8,0,39
8,10,7,10
8,12,2,36
8,13,8,15
8,18,0,17
8,20,8,11
9,3,1,24
9,7,4,39
9,8,1,39
9,9,1,41
9,10,6,32
9,13,2,14
9,14,3,20
9,18,2,38
9,19,3,37
9,20,7,48
10,0,6,22
10,2,5,18
10,3,6,29
10,4,0,15
10,6,3,12
10,8,9,28
10,9,7,11
10,11,0,10
10,12,3,30
10,16,5,10
11,1,4,11
11,2,7,10
11,3,0,10
11,4,0,10
11,5,10,10
11,6,3,10
11,12,1,11
11,14,1,11
11,15,3,11
11,17,3,10
12,0,10,31
12,4,0,48
12,5,5,29
12,9,9,40
12,12,6,17
12,14,2,20
12,16,7,33
12,17,3,34
12,18,7,38
12,19,0,13
13,5,7,37
13,6,4,30
13,7,2,24
13,10,8,10
13,11,4,41
13,13,3,17
13,15,3,12
13,17,2,48
13,18,5,45
13,20,7,19
14,2,8,43
14,5,8,52
14,6,8,37
14,8,10,33
14,9,0,37
14,13,2,44
14,16,9,35
14,17,4,49
14,18,1,49
14,20,3,32
15,1,0,49
15,3,4,44
15,5,2,14
15,9,9,37
15,12,0,10
15,15,1,50
15,16,0,21
15,18,2,20
15,19,0,22
15,20,5,54
16,0,2,63
16,2,10,48
16,4,10,10
16,8,9,37
16,11,3,59
16,12,9,69
16,13,1,58
16,16,1,73
16,17,8,27
16,20,3,54
17,0,0,35
17,1,0,13
17,2,3,10
17,3,4,32
17,4,5,28
17,6,7,35
17,11,7,16
17,13,6,16
17,17,2,33
17,18,8,35
18,0,4,20
18,2,10,12
18,5,10,17
18,6,3,10
18,11,4,19
18,14,1,13
18,15,8,20
18,16,4,18
18,17,3,15
18,20,3,17
19,2,5,68
19,4,5,59
19,6,10,49
19,7,6,51
19,8,9,59
19,10,10,32
19,11,8,10
19,13,6,62
19,14,7,16
19,19,7,60
20,0,8,34
20,1,4,40
20,2,5,35
20,3,2,12
20,5,1,30
20,9,6,48
20,11,2,32
20,13,1,10
20,14,2,47
20,20,3,50
21,0,4,38
21,4,1,15
21,5,2,10
21,8,0,11
21,9,7,12
21,10,3,25
21,14,8,63
21,15,5,21
21,19,4,60
21,20,7,34
22,0,9,31
22,2,1,43
22,3,2,25
22,5,7,26
22,8,0,42
22,11,2,28
22,14,9,13
22,15,5,11
22,18,7,13
22,19,7,39
23,3,4,17
23,5,5,11
23,6,0,12
23,8,8,18
23,10,0,14
23,12,6,10
23,15,5,11
23,17,3,12
23,18,10,13
23,19,1,21
24,1,6,33
24,4,7,17
24,6,9,18
24,9,5,10
24,12,3,32
24,13,0,26
24,14,2,36
24,15,9,22
24,17,1,26
24,18,7,22
25,1,9,31
25,2,5,29
25,4,8,27
25,7,7,44
25,8,1,45
25,9,6,28
25,10,4,10
25,12,10,20
25,13,0,19
25,19,10,18
26,2,2,21
26,4,9,18
26,6,0,20
26,7,2,12
26,9,7,11
